rsid,metabolite_id,p,gene,study,biochemical_name
rs174548,metabolite_100002871,1.705e-24,FADS1|FADS2,Yin et. al. 2022,1-adrenoyl-GPC (22:4)*
rs174548,metabolite_100009122,3.638e-141,FADS1|FADS2,Yin et. al. 2022,1-pentadecanoyl-2-arachidonoyl-GPC (15:0/20:4)*
rs174548,metabolite_100009345,5.879e-75,FADS1|FADS2,Yin et. al. 2022,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*
rs174548,metabolite_229,1.18e-92,FADS1|FADS2,Yin et. al. 2022,arachidonate (20:4n6)
rs174549,metabolite_100001870,1.761e-119,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
rs174549,metabolite_100008994,1.913e-51,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
rs174549,metabolite_100009066,4.338e-19,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*
rs174549,metabolite_100009078,9.329e-112,FADS1|FADS2,Yin et. al. 2022,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
rs174549,metabolite_1528,1.534e-39,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
rs174551,metabolite_100001181,8.216e-21,FADS1|FADS2,Yin et. al. 2022,docosapentaenoate (n3 DPA; 22:5n3)
rs174551,metabolite_100001229,1.272e-41,FADS1|FADS2,Yin et. al. 2022,stearidonate (18:4n3)
rs174551,metabolite_100002063,2.738e-53,FADS1|FADS2,Yin et. al. 2022,1-docosapentaenoyl-GPC (22:5n3)*
rs174551,metabolite_100004552,5.294e-18,FADS1|FADS2,Yin et. al. 2022,1-eicosapentaenoyl-GPE (20:5)*
rs174551,metabolite_100005351,1.399e-70,FADS1|FADS2,Yin et. al. 2022,1-eicosapentaenoyl-GPC (20:5)*
rs174551,metabolite_100008921,1.35e-19,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
rs174551,metabolite_100008989,3.203e-70,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*
rs174551,metabolite_100009146,1.49e-20,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-adrenoyl-GPC (18:0/22:4)*
rs174551,metabolite_100009166,7.508e-92,FADS1|FADS2,Yin et. al. 2022,"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*"
rs174551,metabolite_100009167,5.227e-80,FADS1|FADS2,Yin et. al. 2022,"phosphatidylcholine (18:0/20:5, 16:0/22:5n6)*"
rs174551,metabolite_2050,3.889e-48,FADS1|FADS2,Yin et. al. 2022,eicosapentaenoate (EPA; 20:5n3)
rs174553,metabolite_100001570,1.474e-92,FADS1|FADS2,Yin et. al. 2022,1-linoleoyl-GPE (18:2)*
rs174555,metabolite_100001193,2.383e-23,FADS1|FADS2,Yin et. al. 2022,adrenate (22:4n6)
rs174555,metabolite_100008903,2.866e-60,FADS1|FADS2,Yin et. al. 2022,"1,2-dilinoleoyl-GPC (18:2/18:2)"
rs174555,metabolite_100009343,2.952e-55,FADS1|FADS2,Yin et. al. 2022,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*
rs174557,metabolite_100001778,4.594e-28,FADS1|FADS2,Yin et. al. 2022,1-linoleoyl-GPI (18:2)*
rs174557,metabolite_100001856,2.048e-14,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
rs174557,metabolite_100005714,3.025e-17,FADS1|FADS2,Yin et. al. 2022,1-linolenoyl-GPE (18:3)*
rs174560,metabolite_100006292,5.593e-26,FADS1|FADS2,Yin et. al. 2022,"sphingomyelin (d18:1/20:1, d18:2/20:0)*"
rs174564,metabolite_100001869,1.526e-228,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
rs174564,metabolite_100008918,1.91e-109,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4)
rs174564,metabolite_100009021,9.883e-93,FADS1|FADS2,Yin et. al. 2022,1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*
rs174564,metabolite_100010936,2.438e-75,FADS1|FADS2,Yin et. al. 2022,oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*
rs28456,metabolite_100001654,9.395e-19,FADS1|FADS2,Yin et. al. 2022,1-arachidonoyl-GPI (20:4)*
rs28456,metabolite_100008957,4.511e-12,FADS1|FADS2,Yin et. al. 2022,"sphingomyelin (d18:2/24:1, d18:1/24:2)*"
rs28456,metabolite_100009181,4.824e-18,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
rs174565,metabolite_100006293,1.386e-13,FADS1|FADS2,Yin et. al. 2022,"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*"
rs174568,metabolite_100001553,3.606e-41,FADS1|FADS2,Yin et. al. 2022,1-dihomo-linoleoyl-GPC (20:2)*
rs1535,metabolite_100001776,3.474e-65,FADS1|FADS2,Yin et. al. 2022,2-linoleoyl-GPE (18:2)*
rs61897793,metabolite_100001552,1.21e-14,FADS1|FADS2,Yin et. al. 2022,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*
rs2072114,metabolite_100009069,1.164e-25,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*
rs2072114,metabolite_100009225,1.157e-29,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*
rs2072114,metabolite_100015837,2.49e-23,FADS1|FADS2,Yin et. al. 2022,arachidonoylcarnitine (C20:4)
rs174581,metabolite_100008980,3.801e-58,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*
rs174581,metabolite_100009035,9.471e-56,FADS1|FADS2,Yin et. al. 2022,1-pentadecanoyl-2-linoleoyl-GPC (15:0/18:2)*
rs174581,metabolite_100009037,3.212e-52,FADS1|FADS2,Yin et. al. 2022,1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*
rs174581,metabolite_100009332,1.233e-47,FADS1|FADS2,Yin et. al. 2022,arachidonoylcholine
rs174581,metabolite_1537,8.341e-92,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
rs200202925,metabolite_100001580,5.941e-14,FADS1|FADS2,Yin et. al. 2022,docosapentaenoate (n6 DPA; 22:5n6)
rs200202925,metabolite_100009142,1.769e-15,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)*
rs5792239,metabolite_100008976,5.51e-82,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
rs5792239,metabolite_100009138,1.092e-44,FADS1|FADS2,Yin et. al. 2022,1-myristoyl-2-linoleoyl-GPC (14:0/18:2)*
rs5792239,metabolite_1526,1.766e-16,FADS1|FADS2,Yin et. al. 2022,1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
rs61897795,metabolite_100009051,2.308e-11,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*
rs174592,metabolite_100000657,1.368e-38,FADS1|FADS2,Yin et. al. 2022,"1,2-dipalmitoyl-GPC (16:0/16:0)"
rs174594,metabolite_100008999,1.563e-29,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*
rs174594,metabolite_100009002,9.627e-12,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*
rs174598,metabolite_100009148,2.916e-22,FADS1|FADS2,Yin et. al. 2022,1-oleoyl-2-dihomo-linolenoyl-GPC (18:1/20:3)*
rs174599,metabolite_100010918,2.23e-12,unknown,Yin et. al. 2022,oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*
rs174599,metabolite_100015727,9.969e-18,FADS1|FADS2,Yin et. al. 2022,"ceramide (d16:1/24:1, d18:1/22:1)*"
rs174599,metabolite_100015755,3.762e-12,FADS1|FADS2,Yin et. al. 2022,"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*"
rs174600,metabolite_100005371,6.385e-16,FADS1|FADS2,Yin et. al. 2022,1-dihomo-linolenoyl-GPE (20:3n3 or 6)*
rs174601,metabolite_100002875,2.226e-12,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-palmitoyl)-GPC (P-16:0)*
rs138510246,metabolite_917,1.809e-15,ASRGL1,Yin et. al. 2022,asparagine
rs1939746,metabolite_100002761,1.776e-16,SLC22A24|SLC22A25|SLC22A10|SLC22A9,Yin et. al. 2022,androsterone glucuronide
rs78014292,metabolite_100005418,5.552e-33,SLC22A24|SLC22A25|SLC22A10|SLC22A9,Yin et. al. 2022,17alpha-hydroxypregnanolone glucuronide
rs111327720,metabolite_100002761,1.706e-137,SLC22A24|SLC22A25|SLC22A10|SLC22A9,Yin et. al. 2022,androsterone glucuronide
rs374672720,metabolite_100005403,3.878e-49,SLC22A24|SLC22A25|SLC22A10|SLC22A9,Yin et. al. 2022,etiocholanolone glucuronide
rs1939768,metabolite_100020541,1.109e-11,SLC22A24|SLC22A25|SLC22A10|SLC22A9,Yin et. al. 2022,11beta-hydroxyandrosterone glucuronide
rs112295236,metabolite_100003470,2.85e-14,SLC22A24|SLC22A25|SLC22A10|SLC22A9,Yin et. al. 2022,pregnanediol-3-glucuronide
rs146027075,metabolite_100002026,2.103e-22,unknown,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (2)"
rs34400381,metabolite_100001662,1.333e-15,SLC25A45,Yin et. al. 2022,deoxycarnitine
rs34400381,metabolite_189,1.866e-80,SLC25A45,Yin et. al. 2022,"N6,N6,N6-trimethyllysine"
rs34400381,metabolite_344,8.112e-30,SLC25A45,Yin et. al. 2022,guanidinoacetate
rs948445,metabolite_100001104,2.171e-38,ACY3,Yin et. al. 2022,N-acetyltyrosine
rs948445,metabolite_100001254,1.092e-51,ACY3,Yin et. al. 2022,N-acetyltryptophan
rs948445,metabolite_100006378,1.467e-14,ACY3,Yin et. al. 2022,N-acetylkynurenine (2)
rs7108759,metabolite_100001256,9.315e-40,ACY3,Yin et. al. 2022,N-acetylphenylalanine
rs7108759,metabolite_100020414,6.412e-13,unknown,Yin et. al. 2022,6-bromotryptophan
rs7940113,metabolite_267,9.662e-16,CHKA,Yin et. al. 2022,choline phosphate
rs3781579,metabolite_100015836,4.984e-21,unknown,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs2510375,metabolite_100015835,1.017e-25,CPT1A,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs189174414,metabolite_100015835,6.365e-43,CPT1A,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs189174414,metabolite_100015836,1.773e-42,CPT1A,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs2229738,metabolite_100009166,2.695e-13,unknown,Yin et. al. 2022,"phosphatidylcholine (16:0/22:5n3, 18:1/20:4)*"
rs2229738,metabolite_100015834,1.797e-19,CPT1A,Yin et. al. 2022,lignoceroylcarnitine (C24)*
rs2229738,metabolite_100015835,2.549e-20,CPT1A,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs2229738,metabolite_100015837,3.124e-19,CPT1A,Yin et. al. 2022,arachidonoylcarnitine (C20:4)
rs2229738,metabolite_100015840,4.451e-13,CPT1A,Yin et. al. 2022,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
rs2229738,metabolite_100015846,2.212e-26,CPT1A,Yin et. al. 2022,nervonoylcarnitine (C24:1)*
rs79051613,metabolite_100015835,3.043e-40,CPT1A,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs79051613,metabolite_100015836,9.554e-33,CPT1A,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs575833336,metabolite_100015833,5.771e-12,CPT1A,Yin et. al. 2022,arachidoylcarnitine (C20)*
rs575833336,metabolite_100015834,4.529e-27,CPT1A,Yin et. al. 2022,lignoceroylcarnitine (C24)*
rs575833336,metabolite_100015846,4.585e-22,CPT1A,Yin et. al. 2022,nervonoylcarnitine (C24:1)*
rs546734813,metabolite_100001391,2.681e-11,unknown,Yin et. al. 2022,stearoylcarnitine (C18)
rs7940029,metabolite_100003271,3.501e-59,NAALAD2,Yin et. al. 2022,beta-citrylglutamate
rs80078229,metabolite_100003271,8.266e-35,NAALAD2,Yin et. al. 2022,beta-citrylglutamate
rs9804695,metabolite_100003271,3.405e-12,NAALAD2,Yin et. al. 2022,beta-citrylglutamate
rs182295429,metabolite_100003271,3.73e-28,NAALAD2,Yin et. al. 2022,beta-citrylglutamate
rs10830963,metabolite_572,6.644e-11,MTNR1B,Yin et. al. 2022,glucose
rs2846730,metabolite_100006370,2.342e-40,FDX1,Yin et. al. 2022,3beta-hydroxy-5-cholestenoate
rs2724417,metabolite_100001990,2.32e-21,FDX1,Yin et. al. 2022,taurocholenate sulfate*
rs2724417,metabolite_100006370,3.48e-107,FDX1,Yin et. al. 2022,3beta-hydroxy-5-cholestenoate
rs1573558,metabolite_100001989,3.051e-35,FDX1,Yin et. al. 2022,glycocholenate sulfate*
rs1573558,metabolite_100004182,1.904e-11,FDX1,Yin et. al. 2022,3b-hydroxy-5-cholenoic acid
rs66505542,metabolite_100000616,2.797e-12,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs66505542,metabolite_100001040,3.431e-11,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-linoleoylglycerol (18:2)
rs66505542,metabolite_100001856,1.59e-12,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
rs66505542,metabolite_100002989,3.42e-31,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
rs66505542,metabolite_100008976,3.177e-14,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*
rs66505542,metabolite_100008994,2.599e-15,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPI (18:0/18:2)
rs66505542,metabolite_100009078,7.204e-12,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
rs66505542,metabolite_100010918,5.921e-13,unknown,Yin et. al. 2022,oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*
rs66505542,metabolite_100010919,2.618e-12,unknown,Yin et. al. 2022,oleoyl-oleoyl-glycerol (18:1/18:1) [2]*
rs66505542,metabolite_100010940,1.198e-14,unknown,Yin et. al. 2022,"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*"
rs66505542,metabolite_100010941,7.495e-30,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*
rs964184,metabolite_100002990,1.876e-29,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
rs964184,metabolite_100008921,6.842e-14,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
rs964184,metabolite_100008977,4.611e-11,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
rs964184,metabolite_100008980,3.796e-11,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*
rs964184,metabolite_100009052,1.709e-14,unknown,Yin et. al. 2022,palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*
rs964184,metabolite_100009055,3.308e-17,unknown,Yin et. al. 2022,palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*
rs964184,metabolite_100010927,5.891e-16,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*
rs964184,metabolite_1537,3.012e-12,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
rs3741298,metabolite_100009037,1.155e-12,APOA1|APOA4|APOA5|APOC3,Yin et. al. 2022,1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*
rs11314422,metabolite_100006005,2.641e-18,unknown,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"
rs618888,metabolite_100002017,2.348e-14,unknown,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol disulfate"
rs113488591,metabolite_100001055,2.193e-34,ACAD8,Yin et. al. 2022,isobutyrylcarnitine (C4)
rs10848481,metabolite_799,1.969e-11,SLC6A12,Yin et. al. 2022,betaine
rs768912369,metabolite_799,3.464e-30,SLC6A12,Yin et. al. 2022,betaine
rs34265203,metabolite_799,1.155e-27,SLC6A12,Yin et. al. 2022,betaine
rs3782867,metabolite_100001208,1.978e-21,SLC6A13,Yin et. al. 2022,1-methyl-4-imidazoleacetate
rs555044,metabolite_100001662,3.842e-14,SLC6A13,Yin et. al. 2022,deoxycarnitine
rs2080402,metabolite_100001668,3.046e-17,SLC6A13,Yin et. al. 2022,1-ribosyl-imidazoleacetate*
rs11062102,metabolite_100001208,3.989e-140,SLC6A13,Yin et. al. 2022,1-methyl-4-imidazoleacetate
rs11062102,metabolite_100001662,1.512e-116,SLC6A13,Yin et. al. 2022,deoxycarnitine
rs10774020,metabolite_1114,1.766e-34,SLC6A13,Yin et. al. 2022,3-aminoisobutyrate
rs11613331,metabolite_100001540,2.109e-14,SLC6A13,Yin et. al. 2022,pyroglutamine*
rs7969761,metabolite_100000263,5.109e-28,SLC6A13,Yin et. al. 2022,imidazole lactate
rs7969761,metabolite_100001208,1.064e-11,SLC6A12,Yin et. al. 2022,1-methyl-4-imidazoleacetate
rs7969761,metabolite_100001662,7.138e-15,SLC6A13,Yin et. al. 2022,deoxycarnitine
rs7969761,metabolite_100003434,7.277e-18,SLC6A13,Yin et. al. 2022,imidazole propionate
rs7969761,metabolite_344,5.56e-26,SLC6A13,Yin et. al. 2022,guanidinoacetate
rs1358634021,metabolite_799,1.557e-16,SLC6A12,Yin et. al. 2022,betaine
rs189206203,metabolite_100006641,2.805e-11,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycochenodeoxycholate 3-sulfate
rs4149056,metabolite_100001571,6.784e-26,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-arachidonoyl-GPE (20:4n6)*
rs4149056,metabolite_100001613,5.841e-141,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,tetradecanedioate (C14-DC)
rs4149056,metabolite_100001614,5.558e-139,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,hexadecanedioate (C16-DC)
rs4149056,metabolite_100001654,3.413e-19,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-arachidonoyl-GPI (20:4)*
rs4149056,metabolite_100001674,2.182e-14,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,2-arachidonoyl-GPE (20:4)*
rs4149056,metabolite_100001951,6.347e-18,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"bilirubin (E,Z or Z,E)*"
rs4149056,metabolite_100001987,2.009e-11,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol disulfate"
rs4149056,metabolite_100001989,1.374e-187,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycocholenate sulfate*
rs4149056,metabolite_100001990,2.607e-66,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,taurocholenate sulfate*
rs4149056,metabolite_100001994,1.841e-21,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"androstenediol (3beta,17beta) disulfate (2)"
rs4149056,metabolite_100002017,4.79e-30,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol disulfate"
rs4149056,metabolite_100002060,1.428e-18,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-docosahexaenoyl-GPE (22:6)*
rs4149056,metabolite_100002129,1.056e-30,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,pregnenolone sulfate
rs4149056,metabolite_100003594,1.697e-11,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,phenylalanyltryptophan
rs4149056,metabolite_100004552,8.52e-16,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-eicosapentaenoyl-GPE (20:5)*
rs4149056,metabolite_100005716,9.996e-54,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-oleoyl-GPG (18:1)*
rs4149056,metabolite_100005996,9.107e-139,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,octadecenedioylcarnitine (C18:1-DC)*
rs4149056,metabolite_100006642,1.498e-85,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycodeoxycholate 3-sulfate
rs4149056,metabolite_100006644,1.659e-42,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,taurodeoxycholic acid 3-sulfate
rs4149056,metabolite_100009264,0.0,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycochenodeoxycholate glucuronide (1)
rs4149056,metabolite_100019975,6.112e-193,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,hexadecenedioate (C16:1-DC)*
rs4149056,metabolite_100019978,3.823e-177,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,octadecenedioate (C18:1-DC)
rs4149056,metabolite_100019982,4.29e-183,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,octadecadienedioate (C18:2-DC)*
rs4149056,metabolite_100021331,4.593e-80,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,metabolonic lactone sulfate
rs4149056,metabolite_100021712,1.246e-53,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,deoxycholic acid 12-sulfate*
rs4149056,metabolite_100021726,4.839e-87,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,GlcNAc sulfate conjugate of C21H34O2 steroid**
rs4149056,metabolite_1090,4.882e-12,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"bilirubin (Z,Z)"
rs4149056,metabolite_1230,5.388e-47,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,estrone 3-sulfate
rs4149056,metabolite_250,1.068e-13,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,biliverdin
rs73079476,metabolite_100001569,1.038e-12,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-oleoyl-GPE (18:1)
rs73079476,metabolite_100002029,5.456e-19,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"androstenediol (3beta,17beta) monosulfate (2)"
rs73079476,metabolite_100002951,1.674e-19,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,eicosanedioate (C20-DC)
rs73079476,metabolite_100005714,2.196e-11,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-linolenoyl-GPE (18:3)*
rs73079476,metabolite_100009227,4.592e-52,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-linoleoyl-GPG (18:2)*
rs73079476,metabolite_100015640,5.362e-11,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,N-palmitoylserine
rs73079476,metabolite_100020550,9.416e-45,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,deoxycholic acid glucuronide
rs73079476,metabolite_179,8.556e-16,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"9,10-DiHOME"
rs67981690,metabolite_100001657,7.903e-21,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycolithocholate sulfate*
rs67981690,metabolite_100001988,6.128e-18,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"5alpha-pregnan-3beta,20alpha-diol disulfate"
rs67981690,metabolite_100001999,4.136e-15,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,21-hydroxypregnenolone disulfate
rs67981690,metabolite_100002003,2.12e-11,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,21-hydroxypregnenolone monosulfate (1)
rs67981690,metabolite_100002009,3.569e-12,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"
rs67981690,metabolite_100002027,2.249e-19,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs67981690,metabolite_100002568,1.724e-12,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,L-urobilin
rs67981690,metabolite_100003470,2.928e-25,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,pregnanediol-3-glucuronide
rs67981690,metabolite_100021100,1.625e-13,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,tetradecadienedioate (C14:2-DC)*
rs35380692,metabolite_100001613,3.527e-40,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,tetradecanedioate (C14-DC)
rs35380692,metabolite_100001989,1.011e-54,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycocholenate sulfate*
rs35380692,metabolite_100005996,1.754e-40,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,octadecenedioylcarnitine (C18:1-DC)*
rs35380692,metabolite_100006642,4.009e-28,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycodeoxycholate 3-sulfate
rs35380692,metabolite_100009227,5.993e-12,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-linoleoyl-GPG (18:2)*
rs35380692,metabolite_100009264,4.347e-107,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,glycochenodeoxycholate glucuronide (1)
rs35380692,metabolite_100019978,1.028e-80,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,octadecenedioate (C18:1-DC)
rs35380692,metabolite_100020550,6.603e-18,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,deoxycholic acid glucuronide
rs35380692,metabolite_100020823,2.34e-17,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,lithocholate sulfate (1)
rs35380692,metabolite_100021331,6.186e-26,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,metabolonic lactone sulfate
rs35380692,metabolite_100021712,1.48e-19,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,deoxycholic acid 12-sulfate*
rs11045856,metabolite_100001614,5.552e-52,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,hexadecanedioate (C16-DC)
rs11045856,metabolite_100002017,1.346e-12,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol disulfate"
rs11045856,metabolite_100005716,3.571e-21,SLCO1A2|SLCO1B1|SLCO1B3,Yin et. al. 2022,1-oleoyl-GPG (18:1)*
